1,5,481
3,5,484
6,91,486
5,5,487
8,54,487
9,54,489
4,3,486
10,5,490
11,54,491
12,92,492
14,115,493
7,130,488
13,64,494
15,115,495
17,5,495
19,14,495
22,70,497
20,5,496
18,74,498
16,91,496
26,48,499
25,48,499
23,115,500
30,3,500
33,115,501
27,5,502
34,48,503
29,54,501
24,3,498
32,107,504
35,5,503
36,48,506
37,54,504
43,115,506
31,3,501
42,115,506
45,48,508
40,63,508
39,38,505
21,94,497
38,97,505
49,115,510
48,5,509
51,29,510
54,10,511
47,14,509
57,29,512
55,5,512
52,14,511
62,48,514
56,115,514
53,5,512
44,38,511
58,40,513
60,115,514
66,64,516
65,107,516
63,115,515
67,63,517
59,70,515
68,5,516
69,70,517
71,70,517
70,102,518
76,115,519
73,14,518
79,5,519
74,7,519
77,14,519
61,92,519
72,5,520
91,79,522
87,34,521
75,3,518
88,10,522
93,88,523
78,89,520
86,5,523
85,38,521
94,70,523
82,101,521
2,2,482
97,10,524
108,48,526
81,70,524
64,86,516
101,115,526
83,130,521
99,10,525
110,48,527
89,70,525
84,127,522
96,5,526
103,92,526
80,127,523
114,29,528
115,63,529
124,115,529
109,54,528
117,70,530
116,79,530
113,107,528
126,115,529
104,56,527
129,70,531
111,73,529
122,88,529
131,115,531
133,41,532
102,56,527
134,102,531
107,126,527
121,5,531
135,10,531
136,48,533
112,70,532
105,91,532
120,126,528
132,7,532
127,38,530
125,48,534
137,52,532
106,97,526
142,115,534
143,34,533
123,38,530
144,48,534
41,68,507
152,79,535
50,93,513
130,97,531
146,5,534
147,79,536
139,97,532
156,115,536
154,3,536
149,5,534
151,34,535
28,54,500
145,54,535
150,88,536
98,94,525
163,115,537
171,48,538
153,70,537
155,79,538
141,127,533
170,14,539
157,59,537
161,70,537
159,107,539
167,115,539
100,122,524
168,5,538
148,19,534
178,48,540
46,68,508
172,48,540
175,52,539
182,91,540
177,115,541
140,132,535
191,3,541
201,5,542
138,91,540
188,115,542
184,3,542
186,10,541
190,18,541
181,48,543
192,52,541
173,89,539
164,97,539
187,102,542
165,3,538
196,5,542
203,18,542
197,52,542
166,54,542
212,74,544
162,97,540
213,102,543
193,115,544
195,7,543
209,10,543
92,46,524
176,48,545
199,88,543
179,130,540
208,48,546
216,70,544
206,107,546
174,115,546
180,130,541
217,5,545
200,19,542
158,26,536
218,70,547
222,91,546
234,107,547
194,115,547
204,126,542
240,129,547
236,3,547
230,40,546
225,48,548
214,52,546
235,5,547
233,14,548
220,38,545
248,63,549
245,88,548
238,115,549
198,127,544
227,48,550
226,52,548
246,91,549
189,101,545
241,5,549
242,48,551
252,52,549
229,54,549
250,70,549
263,79,551
231,97,547
258,115,551
239,38,548
253,47,551
215,56,544
262,92,550
271,102,551
223,115,552
268,129,552
228,132,546
247,38,549
284,48,553
264,92,550
255,1,550
224,3,548
257,5,552
287,10,552
280,18,552
278,70,552
237,97,550
265,115,554
302,129,554
283,1,553
292,14,552
288,18,552
323,21,555
294,48,555
254,52,553
266,56,551
210,86,545
298,91,553
295,92,553
207,94,543
256,107,551
308,129,554
324,1,554
300,5,554
293,14,553
243,18,553
317,23,554
349,48,556
95,68,524
272,70,556
304,73,554
353,79,556
232,86,546
281,88,554
276,107,551
332,115,556
273,3,551
314,14,555
330,21,557
311,27,554
270,30,550
334,39,555
326,52,555
297,70,553
336,73,555
306,91,555
354,115,557
277,5,556
328,10,556
320,38,554
340,48,558
290,52,556
321,54,556
219,58,545
373,63,558
251,85,550
352,91,557
296,101,554
286,129,558
339,7,556
261,19,554
312,88,557
345,92,557
259,97,551
331,101,555
327,102,555
310,115,559
377,1,559
244,3,559
350,7,557
342,10,558
355,14,560
369,29,558
358,48,560
394,64,560
397,74,560
346,92,558
275,97,556
337,101,556
335,102,558
307,127,555
361,5,559
319,6,556
343,18,559
267,26,550
291,30,554
385,34,559
375,48,561
396,49,561
299,56,553
357,70,559
378,73,559
387,102,560
390,115,561
301,122,556
344,10,560
309,18,560
382,52,560
322,85,554
366,92,560
392,115,562
388,129,562
279,130,553
90,133,522
380,3,562
384,5,561
360,6,558
383,14,562
359,48,563
411,49,563
389,70,561
329,97,559
289,130,553
305,19,553
381,38,560
406,51,561
313,52,562
408,70,562
402,84,562
419,115,564
211,120,543
434,1,564
407,5,563
420,23,563
372,45,561
431,48,565
386,52,563
333,54,563
441,64,565
443,79,565
118,81,529
429,88,563
316,130,556
363,29,560
370,30,559
446,48,566
348,56,558
459,64,566
427,79,565
428,88,563
400,89,561
430,115,566
391,127,561
463,3,566
448,7,565
398,14,561
421,38,563
426,56,563
462,63,567
477,79,567
351,80,557
417,88,564
442,92,565
409,101,563
393,107,563
453,115,567
412,5,566
422,10,566
445,38,564
494,41,568
364,44,559
475,48,568
128,54,531
488,59,568
119,68,540
447,70,566
464,91,567
374,97,564
425,107,564
401,132,562
490,1,568
433,3,568
362,19,558
481,39,567
338,40,555
318,46,554
285,52,567
460,70,568
325,80,559
413,97,565
455,101,565
451,107,565
461,115,569
478,5,568
496,10,568
341,40,556
499,48,570
458,79,570
506,10,569
502,34,569
520,48,571
423,52,569
486,70,569
489,79,571
414,85,563
405,86,561
497,115,571
487,5,570
515,18,570
205,21,551
470,26,569
456,52,570
468,54,570
505,79,572
432,85,563
415,86,562
379,88,570
449,89,565
368,91,560
440,97,568
493,115,572
529,3,572
479,22,567
513,48,573
221,68,545
511,73,571
508,88,571
467,101,569
527,27,571
539,59,572
524,73,571
404,80,564
376,91,562
500,115,574
535,5,573
491,6,570
365,19,564
547,34,573
501,38,571
530,48,575
544,51,572
436,54,573
512,70,573
485,88,573
526,89,571
480,91,573
399,94,565
437,97,573
457,14,566
549,34,574
523,48,576
473,52,574
550,70,574
586,79,576
183,81,540
469,85,568
498,89,570
503,101,572
518,115,576
403,122,561
536,5,575
466,26,566
416,46,562
599,79,577
